level,query,legal_terminology_rewrite,regulatory_compliance_query,contract_clause_query,risk_scenario_query
process,"The breach handling process of an airline covers all steps the airline company takes from the moment a potential security incident is reported through to its formal closure and the introduction of corrective measures. When a report is received, the security team investigates the incident to establish which systems and data are affected and to confirm whether personal data has been involved. If the incident qualifies as a personal data breach, the Data Protection Officer decides whether the supervisory authority and the affected individuals need to be notified, and any required notification is submitted within 72 hours. Once the incident is contained, the full details are recorded in the internal breach register, the response is reviewed to identify what went wrong, and the organisation's procedures are updated to prevent a similar incident from happening again.","Controller and processor procedure for personal data breach response, including incident detection in network and information systems, assessment of risks to the rights and freedoms of natural persons, Data Protection Officer oversight, notification to the competent supervisory authority without undue delay and not later than 72 hours, communication to data subjects, internal recording of the breach, and implementation of appropriate technical and organisational measures to restore availability and prevent recurrence.","Regulatory requirements and statutory obligations for data controllers and operators of essential services regarding personal data breach reporting. Includes mandatory duties to notify the supervisory authority without undue delay and within 72 hours, conditions for communicating high-risk breaches to data subjects in clear and plain language, maintaining an internal breach register, documenting the nature of the breach, and updating technical and organisational security measures under applicable data protection laws.","Data processing agreement clauses establishing processor duties to notify the controller without undue delay after becoming aware of a personal data breach, allocation of responsibilities for investigating physical or technical incidents, requirements to assist with supervisory authority and data subject notifications, timelines for incident response, and contractual provisions requiring the implementation of technical and organisational measures to ensure ongoing confidentiality, integrity, and resilience of processing systems.","Legal consequences and administrative fines for failure to notify a personal data breach to the supervisory authority within 72 hours, delayed communication to data subjects when there is a high risk to their rights and freedoms, inadequate investigation of network and information system incidents, misjudging the severity of the breach, and liability for failing to implement effective corrective measures or appropriate technical and organisational measures following a security incident."
subprocess,"To intake an incident signal, the security team logs the incoming alert or report, gathers the relevant technical and business information, and checks whether the signal represents a genuine incident before passing it on for further handling.","incident reporting, risk management, and assessment procedures for network and information systems security, including the logging, detection, and evaluation of cyber threats and security incidents.","obligations for incident reporting, technical and organisational measures to ensure a level of security appropriate to the risk, requirements for assessing and evaluating cybersecurity incidents, and compliance with data breach notification timelines.","contractual provisions regarding cybersecurity incident response policies, service provider duties to log and verify security signals, rights to audit technical and organisational measures, and mandatory incident notification clauses.","penalties for failing to implement appropriate technical and organisational measures for incident response, violations of mandatory incident reporting obligations, failure to accurately evaluate cyber threats, and liability for mishandling security incidents leading to data loss."
subprocess,"Once a genuine incident is confirmed, the security team assesses its urgency, assigns responsibility to the appropriate response teams, and sets up a shared workspace so that all actions and decisions are tracked throughout the response.","Implementation of appropriate technical and organisational measures following a confirmed physical or technical incident, including risk and severity assessment, allocation of incident response duties to CSIRTs or designated operational response units, and the establishment of formal documentation mechanisms to record all actions, decisions, and resilience operations.","Regulatory obligations for data controllers and operators of essential services regarding physical or technical incidents: requirements for risk assessment, timely incident reporting to supervisory authorities, engagement of response capacities, and mandatory documentation of technical and organisational measures used to mitigate the incident and restore availability.","Contractual clauses governing data processor obligations to assist the controller in the event of a physical or technical incident, including provisions for urgency and risk assessment, coordination with CSIRTs or internal response teams, and terms requiring the tracking and recording of all response actions and technical measures.","Legal consequences, liability, and regulatory penalties for failing to implement appropriate technical and organisational measures during a cybersecurity incident, including improper risk and severity assessment, delayed delegation to response units, and inadequate logging or documentation of response actions leading to compliance breaches."
subprocess,"To qualify the incident as a personal data breach, the response team determines whether personal data was accessed, disclosed, or lost as a result of the incident, assesses the potential impact on the affected individuals, and formally records the outcome of the assessment.","Legal criteria and controller assessment for identifying a personal data breach, encompassing the accidental or unauthorised destruction, loss, alteration, unauthorised disclosure of, or access to personal data, and the formal evaluation of high risk to the rights and freedoms of natural persons.","Regulatory obligations for controllers and processors regarding personal data breaches, including statutory requirements to document incidents, assess risks, notify the competent supervisory authority without undue delay or within 72 hours, and communicate the nature of the breach to affected data subjects.","Contractual clauses and data processing agreement provisions detailing personal data breach assessment duties, including the processor's obligation to notify the controller without undue delay, allocation of responsibilities for investigating unauthorized access or data loss, and terms requiring the formal recording of impact assessments.","Legal ramifications and risk scenarios for failing to accurately assess or record a personal data breach, including supervisory authority enforcement actions, imposition of administrative fines for infringements, failure to notify within mandatory timelines, and unmitigated high risks to the rights and freedoms of natural persons."
subprocess,"Based on the breach qualification, the Data Protection Officer decides whether the incident must be reported to the relevant supervisory authority and whether the affected individuals need to be informed directly. If notification is required, a formal report is compiled and submitted to the supervisory authority within 72 hours of the organisation becoming aware of the breach.","Legal obligations of the controller and data protection officer to notify a personal data breach to the competent supervisory authority without undue delay and not later than 72 hours, and to communicate the personal data breach to the data subject when it is likely to result in a high risk to the rights and freedoms of natural persons.","Regulatory compliance requirements for mandatory personal data breach notification, including the obligation of the controller to report to the supervisory authority within 72 hours of becoming aware, describing the nature of the breach, providing reasons for delay, and the duty to communicate high risk incidents to data subjects without undue delay.","Contractual clauses and data processing agreement provisions governing personal data breach notification duties, including the processor's obligation to notify the controller without undue delay, policies for reporting to the supervisory authority within 72 hours, and procedural terms for communicating data protection incidents to affected data subjects.","Risk scenarios, legal consequences, and the imposition of administrative fines for the infringement of personal data breach reporting rules, including the intentional or negligent failure of a controller to notify the supervisory authority within 72 hours, omitted communication to data subjects, and penalties for delayed incident reporting without providing reasons for the delay."
subprocess,"Once the incident is resolved, the full details including the timeline, decisions, and actions taken are recorded in the organisation's internal breach register. The response team reviews the handling of the incident to identify the root cause and any gaps in the organisation's procedures, and internal guidelines are updated to reduce the likelihood of a similar incident occurring again.","legal framework for cybersecurity incident and personal data breach record-keeping, including timeline and remediation actions by the controller and processor, root cause analysis, and the regular testing and updating of technical and organisational measures to prevent recurrence","regulatory requirements for personal data breach and cybersecurity incident reporting and internal record-keeping by controllers; obligations for post-incident review, root cause analysis, mitigating vulnerabilities, and updating technical and organisational measures to ensure a level of security appropriate to the risk and compliance with supervisory authority guidelines","data processing agreement and service level agreement clauses outlining processor and controller obligations for post-incident reporting, breach registers, root cause analysis, identifying vulnerabilities, and mandatory updates to technical and organisational measures to maintain security objectives and resilience",legal consequences and penalties for controllers or processors failing to maintain accurate personal data breach registers or records of processing activities; risks of delayed incident reporting to the supervisory authority; and compliance failures resulting from inadequate root cause analysis or failure to update technical and organisational measures after a cybersecurity incident
task,"When a monitoring system or internal staff member reports a potential incident, the security team logs it in the incident management system with a timestamp and the name of the person or system that raised it.","Notification and recordation of a personal data breach or cybersecurity incident by the controller or processor, including logging at what times and by whom the incident was raised or data was accessed.","Regulatory obligations for a controller or processor to record security incidents and notify the supervisory authority of a personal data breach without undue delay or not later than 72 hours, including documenting the time and identification of originators.","Contractual clauses outlining the processor's obligation to notify the controller without undue delay after becoming aware of a personal data breach or technical incident, and requirements to implement technical and organisational measures for logging timestamps and reporter identities.","Legal consequences and risks to the rights and freedoms of natural persons arising from unauthorized access, accidental destruction, or failure to accurately log a personal data breach and notify the supervisory authority within 72 hours."
task,"The security team collects information about the incident such as which systems were involved, what unusual activity was observed, and whether any services or operations were disrupted.","investigation and documentation of cybersecurity incidents affecting network and information systems, including the assessment of unauthorised access, alteration or loss of availability, and the identification of compromised data, services, or functions.","regulatory obligations for controllers and processors regarding cybersecurity incident reporting and information sharing, including the requirement to document the nature of the personal data breach, assess the probability and impact of the incident on network and information systems, and restore availability in a timely manner without undue delay.","contractual clauses and service agreement provisions detailing obligations to implement technical and organisational measures, procedures for recording accessed data and services during an incident, responsibilities for restoring availability and access, and duties to ensure ongoing confidentiality, integrity, and resilience of processing systems.","legal liabilities and administrative fines resulting from the failure to properly document a cybersecurity incident or personal data breach, including inadequate assessment of the nature, gravity, and duration of the infringement, unmitigated high risks to natural persons, and the inability to restore network and information system availability following unauthorised access or destruction."
task,"The security team updates the incident record with additional details including the names of the affected systems, the geographic regions involved, and the types of data that may have been accessed or exposed.","Personal data breach notification and record of processing activities, detailing the affected network and information systems, transfers to a third country or international organisation, and categories of personal data subject to unauthorised access or disclosure.","Obligations of the controller and processor to notify the personal data breach to the supervisory authority without undue delay, including requirements to document the nature of the breach, third country involvement, and the categories and approximate number of personal data records concerned.","Controller and processor obligations and binding corporate rules regarding personal data breach incident reporting, including technical and organisational measures for documenting affected systems, third country data transfers, and unauthorised access to personal data within data processing agreements.","Imposition of administrative fines and legal ramifications for infringements involving failure to adequately document or notify a personal data breach, including omitting the nature, gravity, third country scope, or categories of compromised personal data, resulting in risks to the rights and freedoms of natural persons."
task,"The security team reviews the available information to determine whether the report is a genuine incident or a false positive, and confirms that it warrants escalation before passing it on for prioritisation.","legal assessment, detection, and analysis of cyber threats and network and information system incidents; verification of incident reporting and substantiation of physical or technical incidents; triage and escalation procedures by CSIRTs or security teams for procedural prioritisation.","legal requirements and statutory obligations for operators of essential services, digital service providers, and controllers regarding cybersecurity incident reporting, detection, and analysis; regulatory mandates to implement appropriate technical and organisational measures to assess, test, and evaluate the verification of cyber threats and ensure the timely escalation of genuine incidents.","contractual clauses, standard data protection clauses, and binding corporate rules detailing security team duties for the prevention, detection, and analysis of incidents; service level agreements and policy provisions governing incident verification, triage of false positives, and escalation procedures for genuine physical or technical incidents.","regulatory penalties, supervisory authority investigations, and liabilities for failure to detect, analyse, and appropriately escalate cybersecurity incidents; risks of misclassifying genuine cyber threats as false positives; breach of duty regarding mandatory incident reporting; and consequences of failing to evaluate and restore network availability in a timely manner following a technical incident."
